bug title,success,evaluation
circom/reclaimprotocol_circom_chacha/zksecurity_unsound_left_rotation,Yes,Picus found a bug and the bug is the same as the actual bug
circom/circom-bigint_circomlib/veridise_underconstrained_points_in_montgomeryAdd,Yes,Picus found a bug and the bug is the same as the actual bug
circom/circom-bigint_circomlib/veridise_decoder_accepting_bogus_output_signal,Yes,Picus found a bug and the bug is the same as the actual bug
circom/circom-bigint_circomlib/veridise_underconstrained_points_in_edwards2Montgomery,Yes,Picus found a bug and the bug is the same as the actual bug
circom/circom-bigint_circomlib/veridise_underconstrained_points_in_montgomeryDouble,Yes,Picus found a bug and the bug is the same as the actual bug
circom/circom-bigint_circomlib/veridise_underconstrained_points_in_montgomery2Edwards,Yes,Picus found a bug and the bug is the same as the actual bug
circom/succinctlabs_telepathy-circuits/veridise_arrayxor_is_under_constrained,Yes,Picus found a bug and the bug is the same as the actual bug
circom/spartan_ecdsa/yacademy_input_signal_s_is_not_constrained_in_eff_ecdsa_circom,No,Picus does not halt after running for 100 seconds and it hits timeout limit
circom/spartan_ecdsa/yacademy_under_constrained_circuits_compromising_the_soundness_of_the_system,No,Picus does not halt after running for 100 seconds and it hits timeout limit
circom/succinctlabs_telepathy-circuits/veridise_template_CoreVerifyPubkeyG1_does_not_perform_input_validation_simplified,No,Picus does not halt after running for 100 seconds and it hits timeout limit
circom/succinctlabs_telepathy-circuits/veridise_zero_padding_for_sha256_in_ExpandMessageXMD_is_vulnerable_to_an_overflow,No,Picus does not halt after running for 100 seconds and it hits timeout limit
circom/succinctlabs_telepathy-circuits/trailofbits_prover_can_lock_user_funds_by_supplying_non-reduced_Y_values_to_G1BigIntToSignFlag,No,Picus does not halt after running for 100 seconds and it hits timeout limit
circom/succinctlabs_telepathy-circuits/trailofbits_incorrect_handling_of_point_doubling_can_allow_signature_forgery,No,Picus does not halt after running for 100 seconds and it hits timeout limit
circom/zkopru/leastauthority_previously_correct_ownership_proof_disabled_via_code_changes,No,Picus does not halt after running for 100 seconds and it hits timeout limit
circom/circom-bigint_circomlib/veridise_missing_range_checks_in_bigmod,No,Picus does not halt after running for 100 seconds and it hits timeout limit
circom/circom-bigint_circomlib/veridise_underconstrained_outputs_in_window4,No,Picus does not halt after running for 100 seconds and it hits timeout limit
circom/circom-bigint_circomlib/veridise_underconstrained_outputs_in_windowmulfix,No,Picus does not halt after running for 100 seconds and it hits timeout limit
circom/maci/hashcloak_data_are_not_fully_verified_during_state_update,No,Picus does not halt after running for 100 seconds and it hits timeout limit
circom/uniRep_protocol/veridise_underconstrained_circuit_allows_invalid_comparison,No,Picus does not halt after running for 100 seconds and it hits timeout limit
circom/semaphore-protocol_semaphore/veridise_no_zero_value_validation,No,Picus outputs 'The circuit is properly constrained' but the circuit contains a bug
circom/succinctlabs_telepathy-circuits/trailofbits_prover_can_lock_user_funds_by_including_ill-formed_bigints_in_public_key_commitment,No,Picus outputs 'The circuit is properly constrained' but the circuit contains a bug
circom/uniRep_protocol/veridise_missing_range_checks_on_comparison_circuits,No,Picus outputs 'The circuit is properly constrained' but the circuit contains a bug
circom/circomlib_mimc/kobi_gurkan_mimc_hash_assigned_but_not_constrained,No,Picus outputs 'Cannot determine whether the circuit is properly constrained'
circom/darkforest_circuits/daira_hopwood_darkforest_v0_3_missing_bit_length_check,No,Picus outputs 'Cannot determine whether the circuit is properly constrained'
circom/circom-bigint_circomlib/veridise_underconstrained_outputs_in_bitElementMulAny,No,Picus outputs 'Cannot determine whether the circuit is properly constrained'
